index,origin,title,inputime,summary,link
1,央视新闻客户端,全球3000多家媒体密集转发！总台声音持续宣示中国立场,1659794661000,<em>台湾</em>问题是中国内政，不容任何外来干涉。对于中国内部事务，中国自己最有发言权！<em>台湾</em>是中国的<em>台湾</em>，台湾同胞也渴望听到由总台发出的中国声音。国际视频通讯社的内容在台湾地区主流电视台实现全覆盖。截至8月5日10时，<em>台湾</em>无线卫星电视台、<em>台湾</em>中天新闻台、<em>台湾</em>中视新闻台、<em>台湾</em>东森电视台等共13个中国台湾地区的电视台持续采用总台重点新闻内容，累计播出1173次，较前一天（8月4日10时）增长58％，播出总时长<em>台湾</em>中时新闻网刊发评论文章截图  诸多岛内自媒体纷纷转发总台新媒体账号“看台海”发布的岛内知名人士表态短视频《台学者喊话民进党“是谁叫佩洛西来的？”》，揭批美国在<em>台湾</em>问题上的背信弃义。,http://world.people.com.cn/n1/2022/0806/c1002-32496165.html
2,央视新闻客户端,国际人士谴责佩洛西窜访中国<em>台湾</em>地区,1659793344000,<em>台湾</em>不是一个国家，而是中国不可分割的一部分，我们不会因为支持一个中国原则而被任何其他国家吓倒。    德国的共产党主席 科伯勒：这是挑衅，这显然是有意的挑衅，这是极其危险的，这简直是犯罪。新加坡前资深外交官 马凯硕：这是荒谬，危险且极不负责的行为，因为在中美关系中，<em>台湾</em>问题是非常敏感的。现实是佩洛西只关心她自己在美国的地位，她是众议院议长，她领导着民主党，民主党有可能失掉中期选举，她是为了提高自身在美国国内的政治地位，这种行为是鲁莽 ，危险和不负责任的，她在试图利用<em>台湾</em>。,http://world.people.com.cn/n1/2022/0806/c1002-32496164.html
3,央视网,国际社会持续声援支持中方在<em>台湾</em>问题上的立场,1659793112000,,http://v.people.cn/n1/2022/0806/c61600-32496162.html
4,央视新闻客户端,多国政党政要和社会组织负责人：严厉批评佩洛西窜访中国<em>台湾</em>地区,1659792382000,摩尔多瓦社会主义者党执行书记、副议长巴特雷恩察表示，美方对<em>台湾</em>问题的危险操弄导致新一轮局势升级，是对世界安全的挑衅。摩尔多瓦一贯支持一个中国原则，认为<em>台湾</em>是中国领土的一部分。,http://world.people.com.cn/n1/2022/0806/c1002-32496156.html
5,光明日报,东南亚国家强烈谴责佩洛西窜访<em>台湾</em>,1659791342000,柬王室官方社交账号还专门发布消息，重温已故太皇西哈努克“只有一个中国，<em>台湾</em>是中国的一个省”的表态。缅方全力支持一个中国原则，重申<em>台湾</em>是中华人民共和国不可分割的一部分。<em>台湾</em>民进党当局顽固推行“台独”，只会给广大台湾同胞带来深重祸害。缅甸全体华人华侨对美台勾连的不耻行径表示坚决反对和强烈谴责。曼德勒侨领表示，中国必须统一也必然统一，<em>台湾</em>的发展在于统一，<em>台湾</em>的前途更在于统一。曼德勒侨胞坚决支持中国政府有关声明，将继续为促进祖国统一大业贡献力量。佩洛西窜访<em>台湾</em>使美国的野心和霸权主义行径暴露无遗。  （本报记者 陈晓阳）,http://world.people.com.cn/n1/2022/0806/c1002-32496154.html
6,,,1659779545000,【#<em>台湾</em>锈迹斑斑的军舰是从美国租的#】#<em>台湾</em>锈迹斑斑的军舰已...,http://api.weibo.com/2/statuses/go?uid=2286908003&id=4799522972371182
7,,解放军历次台海演习中力度最大一次 专家：迫近合围台岛 前所未有,1659778242000,再看最后这块区域是<em>台湾</em>的西南，正好是<em>台湾</em>高雄左营的一个海空域，对“台独”形成了一个关门打狗之势。所以把六个区域连成一条线，就像一个绞索一样，绞索的结正好在西南这个方向。国防大学教授 孟祥青：这次我们的常规导弹也是表现不俗，<em>台湾</em>媒体都炸了锅了，纷纷报道大陆的中远程导弹、常规导弹飞越了台湾岛，甚至<em>台湾</em>防务部门还出来安抚民心，说大家不要紧张、不要惊慌，因为他们的导弹高度很高，不会对岛构成威胁，也反映了<em>台湾</em>防务部门的心虚。联合国秘书长古特雷斯8月3日在发布会上，被记者问及佩洛西窜访<em>台湾</em>一事时，申明坚持一个中国原则。除此之外还有很多，比如说美国在国际社会不断让<em>台湾</em>问题国际化，想把<em>台湾</em>纳入世界卫生组织的观察国成员国地位，而且支持或者背后鼓动国际社会的少数国家、少数势力支持<em>台湾</em>的这样一些行动。,http://military.people.com.cn/n1/2022/0806/c1011-32496137.html
8,牛弹琴微信公众号,这是一场激烈的斗争，中国身后已有160多个国家！,1659777048000,对佩洛西窜访<em>台湾</em>，根据中国外交部的统计，160多个国家已表态，谴责佩洛西的挑衅，支持一个中国原则；可怜，站在美国一边的，只有几个有限的小跟班。  　　国际社会的预警，佩洛西不听，执意去了<em>台湾</em>，哪管背后洪水滔天。  　　有意思的是，佩洛西随后离开<em>台湾</em>去韩国，甚至都没能见到韩国总统尹锡悦。后者不见的理由，是这几天要在“首尔家里休假”。最后，两人礼节性通了个电话，但一句话都没提<em>台湾</em>。  　　公道自在人心。国际社会很清楚，佩洛西一意孤行的所作所为，不仅是对中国人民的挑衅，也是对国际社会爱好和平力量的挑战。  　　而<em>台湾</em>问题的本质，也不是所谓民主问题，而是事关中国主权和领土完整的重大原则问题。  　　对于佩洛西的窜访，很多国家也看不下去。  　　有拍案而起的。所以，我们看到，佩洛西窜访<em>台湾</em>后，一边是美国等零星几个国家，还在强词夺理，对中国进行污蔑指责。,http://world.people.com.cn/n1/2022/0806/c1002-32496134.html
9,新华网,王毅会见俄罗斯外长拉夫罗夫,1659775400000,王毅全面阐述了中方在<em>台湾</em>问题上的正当立场，赞赏俄方第一时间重申坚定支持一个中国原则，反对任何侵犯中国主权和领土完整的行径，展现了中俄战略协作的高水平。,http://world.people.com.cn/n1/2022/0806/c1002-32496128.html
10,,海外华侨华人：强烈谴责佩洛西窜访中国<em>台湾</em>地区,1659766585000,侨团侨社：谴责打“<em>台湾</em>牌”搞“以台制华”  英国福建同乡联谊总会与英国中英文化交流学会等全英30家华侨华人社团联名呼吁全英100万华侨华人，强烈谴责佩洛西这种干涉中国内政的无耻行为。其声明指出，<em>台湾</em>是中国领土不可分割的一部分，任何企图把<em>台湾</em>分裂出去的阴谋都是不会得逞的，14亿中国人民不会答应。  加拿大福建社团联合总会呼吁，台湾地区的广大同胞不要被“台独”分子迷惑利用。中国—欧洲文化艺术体育协会主席马文俊说，尽管海峡两岸尚未完全统一，但大陆和<em>台湾</em>同属一个中国的事实从未改变。美国应该放弃任何打“<em>台湾</em>牌”的企图，履行中美三个联合公报，遵守一个中国原则。“<em>台湾</em>是中国的<em>台湾</em>，台湾同胞是我们的骨肉天亲，海外侨胞严厉谴责佩洛西侵犯中国主权和领土完整的行为。”但无论美方在台海问题上如何抖机灵、耍手段，都不能撼动“<em>台湾</em>是中国领土不可分割的一部分”的事实。佩洛西窜访阻挡不了中国统一的步伐。,http://world.people.com.cn/n1/2022/0806/c1002-32496103.html
