index,origin,title,inputime,summary,link
1,新华网,王毅会见马尔代夫外长沙希德,1664085098000,现在一些国家标榜尊重国家主权，那就应该言行一致，在台湾问题上必须同样尊重中国的主权和领土完整，明确反对“台独”分裂，不同台湾进行任何形式的官方往来。  　　,http://world.people.com.cn/n1/2022/0925/c1002-32533521.html
2,人民网－人民日报,铭记先贤 携手奋进（两岸脉动）,1664065876000,1661年至1662年初，他挥师东征，驱逐荷兰殖民者，收复了被殖民统治38年的宝岛台湾，使台湾重回祖国母亲的怀抱。 “纪念郑成功收复台湾360周年系列活动，彰显了两岸同属一个中国的历史事实和法理依据。台湾劳动党主席吴荣元在致辞时表示。 “郑成功所具有的大忠大义的爱国精神、敢拼敢搏的开创精神，对中国的统一大业、爱国主义教育等都具有重要的时代意义。”纪念大会上，泉州南安石井镇郑成功庙、台湾嘉义溪口开元殿同时升腾的烟火跨海交织，两岸同胞以网络直播、视频互动方式实现“云端”共祭。台湾郑成功纪念宫庙代表许光安表示。 南安石井镇是郑成功祖籍地。福建省委主要负责同志表示，福建是郑成功的故乡，也是许多台湾同胞的祖籍地和居住地。中共中央台办、国务院台办主要负责同志表示，郑成功率部驱逐荷兰殖民者、收复宝岛台湾，为中华民族立下不朽功勋。,http://fj.people.com.cn/n2/2022/0925/c181466-40138267.html
3,人民网－人民日报,王毅会见美国国务卿布林肯,1664064955000,王毅重点针对近期美方在台湾问题上的错误行径全面阐述了中方的严正立场。强调台湾问题是中国核心利益中的核心，在中国人心中的分量重如泰山。维护国家主权和领土完整是我们的使命所在，从不含糊。美方在台湾问题上对中方是有明确政治承诺的。远有中美三个联合公报，近有美本届政府多次表示不支持“台独”。但美方的行动却与此背道而驰，企图破坏中国的主权和领土完整，阻挠中国的和平统一大业，搞所谓“以台制华”，甚至公开声称要协防台湾，发出了十分错误和危险的信号。王毅强调，台湾问题是中国内政，以什么方式解决美方无权干预。中方解决台湾问题的立场是一贯的、明确的，将继续坚持“和平统一、一国两制”的基本方针。和平解决与“台独”分裂水火不容。,http://cpc.people.com.cn/n1/2022/0925/c64094-32533389.html
4,新华网,王毅出席第77届联合国大会一般性辩论并发表演讲,1664062397000,王毅强调，台湾自古以来就是中国领土。中国的国家主权和领土完整从未分割，大陆和台湾同属一个中国的事实从未改变，全体中华儿女追求祖国统一的努力从未停止。年前，正是在这座庄严的大厅里，联合国大会以压倒性多数通过第2758号决议，决定恢复中华人民共和国在联合国的合法席位，将台湾当局“代表”从其非法占据的席位上驱逐出去，从政治上、法律上和程序上彻底解决了包括台湾在内全中国在联合国以及国际机构中的代表权问题,http://world.people.com.cn/n1/2022/0925/c1002-32533376.html
5,人民网－人民日报,铭记先贤 携手奋进（两岸脉动）,1664053314000,1661年至1662年初，他挥师东征，驱逐荷兰殖民者，收复了被殖民统治38年的宝岛台湾，使台湾重回祖国母亲的怀抱。　　台湾劳动党主席吴荣元在致辞时表示。　　“郑成功所具有的大忠大义的爱国精神、敢拼敢搏的开创精神，对中国的统一大业、爱国主义教育等都具有重要的时代意义。”纪念大会上，泉州南安石井镇郑成功庙、台湾嘉义溪口开元殿同时升腾的烟火跨海交织，两岸同胞以网络直播、视频互动方式实现“云端”共祭。　　台湾郑成功纪念宫庙代表许光安表示。　　南安石井镇是郑成功祖籍地。福建省委主要负责同志表示，福建是郑成功的故乡，也是许多台湾同胞的祖籍地和居住地。中共中央台办、国务院台办主要负责同志表示，郑成功率部驱逐荷兰殖民者、收复宝岛台湾，为中华民族立下不朽功勋。,http://tw.people.com.cn/n1/2022/0925/c14657-32533363.html
6,人民网－人民日报,王毅会见美国国务卿布林肯,1664053239000,王毅重点针对近期美方在台湾问题上的错误行径全面阐述了中方的严正立场。强调台湾问题是中国核心利益中的核心，在中国人心中的分量重如泰山。维护国家主权和领土完整是我们的使命所在，从不含糊。美方在台湾问题上对中方是有明确政治承诺的。远有中美三个联合公报，近有美本届政府多次表示不支持“台独”。但美方的行动却与此背道而驰，企图破坏中国的主权和领土完整，阻挠中国的和平统一大业，搞所谓“以台制华”，甚至公开声称要协防台湾，发出了十分错误和危险的信号。王毅强调，台湾问题是中国内政，以什么方式解决美方无权干预。中方解决台湾问题的立场是一贯的、明确的，将继续坚持“和平统一、一国两制”的基本方针。和平解决与“台独”分裂水火不容。,http://world.people.com.cn/n1/2022/0925/c1002-32533348.html
7,人民网－北京频道,让会馆焕发新活力 北京东城首批会馆合作征集项目发布,1663986513000,人民网北京9月24日电 （池梦蕊）9月23日，东城区首批焕发会馆活力合作征集项目在台湾会馆正式发布。包括广东平镇会馆、安徽太平县会馆、江西新建会馆、湖北黄冈会馆等首批十个会馆空间，将焕发新时代活力。,http://bj.people.com.cn/n2/2022/0924/c14540-40137845.html
8,人民网,瓜甜果飘香 “福”地庆丰收,1663984779000,从台湾引进的黄龙果，新鲜永泰包菜晾晒成的包菜干，长58公分、重10.84斤的福鼎槟榔芋“芋王”……来自福建各地的农特产品展销成了现场最美的“丰”景。 当天，永泰元素成为一道独特的风景线。,http://fj.people.com.cn/n2/2022/0924/c181466-40137817.html
9,人民网－人民日报海外版,少子化冲击，台湾高校要“瘦身”,1663980382000,（资料图片）　　近年来，少子化浪潮席卷台湾全岛，生源减少令高校招生未满的问题日益凸显。据台湾《联合报》报道，台湾教育主管部门近日公布的数据显示，2022学年岛内参与招录学生数较往年大减1.1万人，但学校未及时因应调整招生名额分配，最终导致缺额超过1.4万个，录取率则高达98.94%，双双创下历史新高数据显示，在51所出现招生缺额的高校中，有22所是公立院校，其中台湾清华大学等岛内名校也未能幸免。台湾私校工会理事长尤荣辉认为，少子化趋势下，今年只是“雪崩”的开始，没有缺额的学校也要及早应对。台湾成功大学校长苏慧贞表示，从学生招录到整体发展，未来几年台湾高校会面临更多挑战，建议大专院校挖掘办学资源，优化专业设置，以实现可持续发展。,http://edu.people.com.cn/n1/2022/0924/c1006-32533207.html
10,人民网－人民日报海外版,电竞文化节向两岸爱好者发出邀约,1663980382000,启动仪式由两岸青年共同策划和组织实施，采用“元宇宙会场”和“现场会客厅”相结合方式，20位台青主播在20个城市进行直转播，其中包括6个台湾城市，逾15万两岸电竞爱好者在线观看并参与互动。　　本届电竞文化节由上海市人民政府台湾事务办公室、上海市文化和旅游局、上海市普陀区人民政府指导，普陀区人民政府台湾事务办公室、上海市海峡两岸交流促进会、普陀区文化和旅游局主办。,http://edu.people.com.cn/n1/2022/0924/c1006-32533206.html
