relsub,relsum,rel,index,title,date,summary,link
0,0,0,1,大馬羽賽／小戴連2周遭陳雨菲擋下,2022-07-10,BWF超級500系列的馬來西亞羽球名人賽，我國一姊戴資穎連兩周在4強賽遭遇中國大陸強敵陳雨菲，在先丟首局的情況下，儘管第二局戴資穎成功化解對手4個賽末點，但最終仍以13：21、21：23敗下陣來，連...,https://udn.com/news/story/7005/6449558
1,1,1,2,美中貿易談判 露出新曙光,2022-07-10,此時正值美國總統拜登考慮取消部分中國商品關稅的敏感時機，美國國務卿布林肯與中國大陸外交部長王毅9日在峇里島G20外長會後會晤。布林肯9日表示，他王毅討論了俄烏戰爭，就中國對俄羅斯的立場提出關切。大陸...,https://udn.com/news/story/6813/6449643
0,0,0,3,陸6月CPI增2.5% 兩年新高,2022-07-10,中國大陸6月消費者物價指數（CPI）年漲2.5%，較5月擴大0.4個百分點，創2020年8月以來的近兩年新高。生產者物價指數（PPI）年漲6.1%，較5月回落0.3個百分點，連續八個月回落。CPI當...,https://udn.com/news/story/7333/6449431
0,0,0,4,大陸專家憂9月物價升破3%,2022-07-10,大陸疫情解封，服務價格上升帶動6月CPI漲幅創下近兩年新高，不過，物價上漲的噩夢才剛要開始，對於下半年的CPI走勢，分析預估最快9月物價漲幅恐將升破3%，專家指下半年面臨國際油價和糧價的輸入性通膨風...,https://udn.com/news/story/7333/6449432
0,0,0,5,金價回檔20% 陸搶金大媽出動,2022-07-10,近日國際現貨黃金出現大幅下跌，從今年3月最高點以來，回落了近20%，大陸本土黃金首飾的價格也應聲回落，每克下跌超過人民幣10元（新台幣45元），消費者趁機加緊囤貨，深圳的水貝是中國最大的珠寶交易市場...,https://udn.com/news/story/7333/6449437
0,0,0,6,陸學者建議穩房市 救經濟,2022-07-10,前大陸央行調查統計司司長、中歐國際工商學院經濟學與金融學教授盛松成昨（9）日表示，應該儘可能保持房地產投資的平穩。因為房地產投資在量上和基建投資基本上是相當的，如果房地產投資大幅度下降，是很難透過其...,https://udn.com/news/story/7333/6449434
0,1,1,7,大立光下半年出貨成焦點,2022-07-10,本周法說會另一個重點，就是股價重登股王寶座的大立光（3008），與權王台積電均在周四（14日）召開，由新任董事長林恩平親自主持，釋出本季最新營運展望，預料下半年新機拉貨進展、新廠擴廠進度、手機規格升...,https://udn.com/news/story/7253/6449565
0,0,0,8,矽力一拆四 新股13日上市,2022-07-10,電源管理IC廠矽力（6415）股票正處於停止交易期間，一拆四後，新股即將於7月13日上市買賣，屆時矽力將退出千金股行列，股王寶座也由大立光與信驊持續爭奪。矽力6月業績呈現小幅月減，但第2季業績仍再度...,https://udn.com/news/story/7253/6449560
0,0,0,9,台塑四寶 11日發表業績,2022-07-10,台塑（1301）四寶明（11）日舉行業績發表會。台塑四寶上月預估6月營收可較5月成長、第2季較第1季成長，是否符合預期，相當令人期待；上周國際油價一度跌破百美元大關，市場亦關注台塑化是否修正對下半年...,https://udn.com/news/story/7252/6449561
0,0,0,10,6月證交稅收不樂觀,2022-07-10,財政部12日將公布6月及上半年稅收統計，所得稅、證交稅表現將是兩大重頭戲。所得稅在報稅季結束後，根據財政部初步統計，由於經濟成長及企業獲利增加，今年稅額呈現成長；證交稅則在台股翻空量縮烏雲罩頂下，年...,https://udn.com/news/story/7251/6449567
0,0,0,11,自動化工業展 14日登場,2022-07-10,經濟日報主辦「2022台中自動化工業展」將於14日至18日一連五天，在台中國際展覽館隆重登場，今年共有350家廠商、共800個攤位參展，預估可吸引5萬人次參觀，後續延伸商機上看8億元。自動化系列展已...,https://udn.com/news/story/7241/6449568
0,0,0,12,產業追蹤／建構智權金三角 打贏專利戰,2022-07-10,"根據世界智慧財產權組織（WIPO）衡量創新活動指標「專利合作條約（PCT）」的國際專利申請數據顯示，2021年PCT申請量成長0.9%，達27萬7,500件創新高；亞洲地區是PCT申請的最大來源地，...",https://udn.com/news/story/7241/6449354
0,0,0,13,章詒和／蓮花心地、雪藕聰明——范志超的故事（上）,2022-07-10,范志超（1906-1988），我叫范阿姨，是父母的好友，且保持了終生的往來。范志超的好友遠不止章伯鈞夫婦，多得很，還多是名人。她出身在上海松江縣一個小業主家庭，父親是中醫，家境不錯。比家境更優越的是...,https://reading.udn.com/read/story/7048/6444094
1,0,1,14,從和中到反中 安倍加大挺台力度,2022-07-09,日本已故首相安倍晉三在任內致力緩和日中關係，但最近數月，安倍愈來愈直言批評中國大陸，並多次發言挺台。安倍2012年第二次就任首相時，大陸社會反日情緒高漲，全國各地都有民眾上街抗議日本強占釣魚台。不過...,https://udn.com/news/story/122936/6449582
0,0,0,15,女主播穿黑絲襪、低胸掏CPU 裝機視頻變味,2022-07-09,標榜專業、技術的裝機（組裝電腦等電子類產品）視頻，如今出現低胸裝、黑絲襪裝機女主播，看似在組裝，實際卻在展現自己身材，評論區的留言也多是圍繞主播豐滿的身材、暴露的著裝展開。時代周報-時代在線報導，在...,https://udn.com/news/story/7332/6448788
1,1,1,16,與王毅會談  布林肯關切北京對台挑釁日增,2022-07-09,美國國務卿布林肯今天表示，他利用與中國外交部長王毅會談的機會，針對北京對台灣日益挑釁的言詞與活動以及維護台海和平穩定的重要性，向對方轉達美方的深切關注。布林肯（Antony Blinken）利用20...,https://udn.com/news/story/6809/6449535
0,1,1,17,【即時短評】10年前上台的中日韓領導人 而今安在哉？,2022-07-09,距今約莫10年前，2012年的冬季，中日韓三國領導層先後更換，東北亞儼然即將出現新氣象。2012年11月15日，習近平就任中國共產黨中央委員會總書記。2012年12月19日，朴槿惠當選南韓第18任總...,https://udn.com/news/story/6809/6449488
0,0,0,18,不只中國媒體！小島秀夫反覆遭誤認成槍擊安倍晉三兇手 工作室：考慮採取法律行動,2022-07-09,日本前任首相安倍晉三昨（8）日演說遇刺，然而多家媒體在報導嫌犯山上徹也時將照片誤植成「小島秀夫」。對此，小島秀夫工作室今（9）日透過推特發布聲明，表示將考慮採取法律行動。遊戲角落曾報導中國媒體騰訊網...,https://tech.udn.com/tech/story/123158/6449451
0,0,0,19,不只中國媒體！小島秀夫反覆遭誤認成槍擊安倍晉三兇手 工作室：考慮採取法律行動,2022-07-09,日本前任首相安倍晉三昨（8）日演說遇刺，然而多家媒體在報導嫌犯山上徹也時將照片誤植成「小島秀夫」。對此，小島秀夫工作室今（9）日透過推特發布聲明，表示將考慮採取法律行動。遊戲角落曾報導中國媒體騰訊網...,https://game.udn.com/game/story/122089/6449451
0,0,0,20,再現台灣建築經典 修澤蘭特展於東勢客家文化園區登場,2022-07-09,「蕙質蘭心－修澤蘭建築特展」今起至12月31日於東勢客家文化園區登場；中市客委會指出，東勢客家文化園區前身，即是修澤蘭設計的東勢車站，展中規劃建築特色、語彙、東勢車站、宮殿式建築及中山樓等五大主題，...,https://udn.com/news/story/7266/6449455
0,0,0,21,李克強悼安倍晉三 「與他多次會晤、願同岸田加強溝通」,2022-07-09,日本前首相安倍晉三遇刺猝逝，曾多次與其會晤的大陸國務院總理李克強也向現任日本首相岸田文雄發出唁電，稱自己與安倍曾多次會晤，並表示願意跟岸田文雄加強溝通。據新華社9日晚間報導，李克強當日就日本前首相安...,https://udn.com/news/story/122936/6449444
0,0,0,22,布林肯：侵烏議題 俄羅斯無在G20會議交涉跡象,2022-07-09,美國國務卿布林肯今天說，華府「未見跡象」顯示，俄羅斯會就侵略烏克蘭一事與20國集團（G20）其餘國家外交官進行交涉。莫斯科昨天在G20外長會議面臨排山倒海批評。法新社報導，G20國家外交部長正在印尼...,https://udn.com/news/story/6809/6449417
